Tower,Level,zone,SOW,area_m2,fwk_pc13,fwk_pc14,rebar_pc13,rebar_pc14,concrete_pc13,concrete_pc14,pt_pc13,pt_pc14
T3,LG2,Zone 1,2,259,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,LG1,Zone 2,2,283,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,LG1,Zone 3,2,57,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,GF,Zone 4,2,386,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,GF,Zone 4.1,2,75,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,L1,Zone6,2,388,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,L1,Zone8,2,44,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,L1,Zone9,2,82,100%,100%,100%,100%,100%,100%,non-pt,non-pt
T3,L3,Zone10,4,729,100%,100%,100%,100%,100%,,90%,90%
T3,L3,Zone11,4,343,100%,100%,100%,100%,100%,100%,100%,100%
T3,L3,Zone12,4,838,100%,100%,100%,100%,100%,100%,90%,90%
T3,L3,Zone14,4,791,100%,100%,100%,100%,0%,100%,75%,75%
T3,L4,Zone15,4,638,100%,100%,100%,100%,100%,100%,90%,90%
T3,L4,Zone16,4,1182,100%,100%,100%,100%,100%,100%,90%,100%
T3,L4,Zone17,4,858,0%,100%,0%,0%,0%,0%,0%,0%
T3,L4,Zone19,4,1128,0%,21%,0%,21%,0%,0%,0%,21%
